北京	北京市
莱芜	莱芜市
临沂	临沂市
德州	德州市
聊城	聊城市
滨州	滨州市
荷泽	荷泽市
河南	河南省
郑州	郑州市
开封	开封市
洛阳	洛阳市
平顶山	平顶山市
安阳	安阳市
鹤壁	鹤壁市
山城	山城区
新乡	新乡市
焦作	焦作市
濮阳	濮阳市
许昌	许昌市
漯河	漯河市
三门峡	三门峡市
南阳	南阳市
商丘	商丘市
信阳	信阳市
周口	周口市
驻马店	驻马店市
湖北	湖北省
武汉	武汉市
黄石	黄石市
十堰	十堰市
宜昌	宜昌市
鄂州	鄂州市
荆门	荆门市
孝感	孝感市
黄冈	黄冈市
咸宁	咸宁市
随州	随州市
湖南	湖南省
长沙	长沙市
衡阳	衡阳市
邵阳	邵阳市
岳阳	岳阳市
常德	常德市
张家界	张家界市
益阳	益阳市
郴州	郴州市
永州	永州市
怀化	怀化市
娄底	娄底市
湘西	湘西土家族苗族自治州
广东	广东省
广州	广州市
韶关	韶关市
深圳	深圳市
罗湖	罗湖区
福田	福田区
宝安	宝安区
龙岗	龙岗区
盐田	盐田区
珠海	珠海市
汕头	汕头市
佛山	佛山市
江门	江门市
湛江	湛江市
茂名	茂名市
肇庆	肇庆市
惠州	惠州市
梅州	梅州市
汕尾	汕尾市
河源	河源市
阳江	阳江市
清远	清远市
东莞	东莞市
中山	中山市
潮州	潮州市
揭阳	揭阳市
榕城	榕城区
云浮	云浮市
广西	广西省
南宁	南宁市
柳州	柳州市
桂林	桂林市
梧州	梧州市
防城港	防城港市
钦州	钦州市
贵港	贵港市
玉林	玉林市
百色	百色市
贺州	贺州市
河池	河池市
来宾	来宾市
崇左	崇左市
海南	海南省
海口	海口市
三亚	三亚市
重庆	重庆市
四川	四川省
成都	成都市
自贡	自贡市
攀枝花	攀枝花市
泸州	泸州市
德阳	德阳市
绵阳	绵阳市
广元	广元市
遂宁	遂宁市
内江	内江市
乐山	乐山市
南充	南充市
眉山	眉山市
宜宾	宜宾市
长宁	长宁县
广安	广安市
达州	达州市
雅安	雅安市
巴中	巴中市
凉山	凉山彝族自治州
贵州	贵州省
贵阳	贵阳市
六盘水	六盘水市
水城	水城县
遵义	遵义市
安顺	安顺市
铜仁	铜仁市
黔西南	黔西南布依族苗族自治州
毕节	毕节市
黔东南	黔东南苗族侗族自治州
黔南	黔南布依族苗族自治州
云南	云南省
昆明	昆明市
曲靖	曲靖市
玉溪	玉溪市
保山	保山市
昭通	昭通市
丽江	丽江市
思茅	思茅市
江城	江城哈尼族彝族自治县
临沧	临沧市
楚雄	楚雄市
西双版纳	西双版纳傣族自治州
大理	大理市
怒江	怒江傈僳族自治州
迪庆	迪庆藏族自治州
西藏	西藏自治区
拉萨	拉萨市
昌都	昌都县
日喀则	日喀则市
那曲	那曲县
林芝	林芝县
陕西	陕西省
西安	西安市
铜川	铜川市
宝鸡	宝鸡市
咸阳	咸阳市
渭南	渭南市
延安	延安市
汉中	汉中市
榆林	榆林市
安康	安康市
商洛	商洛市
甘肃	甘肃省
兰州	兰州市
嘉峪关	嘉峪关市
金昌	金昌市
白银	白银市
天水	天水市
武威	武威市
张掖	张掖市
平凉	平凉市
酒泉	酒泉市
庆阳	庆阳市
定西	定西市
陇南	陇南市
临夏	临夏市
甘南	甘南藏族自治州
青海	青海省
西宁	西宁市
玉树	玉树县
海西	海西蒙古族
哈市	德令哈市
宁夏	宁夏省
银川	银川市
石嘴山	石嘴山市
吴忠	吴忠市
固原	固原市
中卫	中卫市
新疆	新疆省
乌鲁木齐	乌鲁木齐市
克拉玛依	克拉玛依市
吐鲁番	吐鲁番市
哈密	哈密市
昌吉	昌吉市
阿克苏	阿克苏市
喀什	喀什市
和田	和田市
伊犁	伊犁哈萨克自治州
塔城	塔城市
阿勒泰	阿勒泰市
石河子	石河子市
阿拉尔	阿拉尔市
图木舒克	图木舒克市
五家渠	五家渠市
台湾	台湾省
台北	台北市
高雄	高雄市
基隆	基隆市
台中	台中市
台南	台南市
新竹	新竹市
嘉义	嘉义市
香港	香港特别行政区
湾仔	湾仔区
油尖旺	油尖旺区
深水埗	深水埗区
观塘	观塘区
荃湾	荃湾区
葵青	葵青区
沙田	沙田区
西贡	西贡区
元朗	元朗区
屯门	屯门区
离岛	离岛区
澳门	澳门特别行政区
阿里	阿里巴巴
阿里巴巴集团	阿里巴巴
习主席	习近平
毛主席	毛泽东
摩托车	摩托
锂离子电池	锂电池
氢能源	氢能
小钢炮	钢炮
自动档	自动挡
青岛啤酒	青啤
小平房	平房
大闸蟹	闸蟹
横山桥	横山桥镇
驾驶证	驾照
优步	uber
女式	女款
新一代	全新一代
宝能集团	宝能
爸爸妈妈	爸妈
怀孕了	怀孕
网络游戏	网游
退烧药	退热药
儿媳妇	儿媳
剖宫产	剖腹产
孕检	产检
黄体酮	孕酮
吮吸	吸吮
奶水	乳汁
老爸	爸爸
爸	爸爸	
六龄齿	六龄牙
老师	教师
迪迦奥特曼	迪迦
盆骨	骨盆
扶风	扶风县
蜡笔小新	小新
生孩子	生娃
冷冻卵子	冻卵
趴着睡	趴睡
一胎	头胎
长高	长个
乳名	小名
大夫	医生
小猪佩奇	佩奇
菩提老祖	菩提祖师
布玛	布尔玛
沙和尚	沙僧
佐菲奥特曼	佐菲
如来佛祖	如来
梦比优斯奥特曼	梦比优斯
欧布奥特曼	欧布
弗利沙	弗利萨
观音菩萨	观音
漩涡鸣人	鸣人
王母娘娘	王母
麦克斯奥特曼	麦克斯
玉皇大帝	玉帝
魔人布欧	布欧
火影忍者	火影
嘉靖皇帝	嘉靖
西天取经	取经
捷德奥特曼	捷德
四月份	四月
祝您	祝你
丈夫	老公
财神爷	财神
国美电器	国美
查理芒格	芒格
婚外情	出轨
小拇指	小指
清末	晚清
自助餐馆	自助餐厅
明太祖	朱元璋
大清	清朝
杨贵妃	杨玉环
帝位	皇位
甲午海战	甲午战争
凌迟处死	凌迟
汉宣帝	刘询
水泊梁山	梁山
释迦牟尼佛	释迦牟尼
黄老邪	黄药师
苏东坡	苏轼
贴对联	贴春联
钮钴禄氏	钮祜禄氏
妃子	嫔妃
妃嫔	嫔妃
大宋	宋朝
大清帝国	大清国
文殊菩萨	文殊
博时基金管理有限公司	博时基金
唐玄宗	唐明皇
道光皇帝	道光帝
裕仁天皇	裕仁
汉灵帝	刘宏
唐太宗	李世民
秦二世	胡亥
尉迟敬德	尉迟恭
建文帝	朱允炆
关二爷	关羽
书圣王羲之	王羲之
西北政法大学	西北政法
鲁迅先生	鲁迅
大唐	唐朝	
唐王朝	唐朝
唐寅	唐伯虎
抗日战争	抗战
墓穴	坟墓
嬴政	秦始皇
秦王嬴政	秦始皇
始皇帝	秦始皇
秦王政	秦始皇
赢政	秦始皇
陵园	墓地
墓园	墓地
林妹妹	林黛玉
黛玉	林黛玉
宋仁宗	赵祯
昭君	王昭君
猫脸老太太	猫脸老太
崇祯帝	朱由检
崇祯皇帝	朱由检
包青天	包拯
水浒	水浒传
正德皇帝	朱厚照
明武宗	朱厚照
秦始皇陵墓	秦始皇陵
始皇陵	秦始皇陵
秦陵地宫	秦始皇陵
秦陵	秦始皇陵
蒙古铁骑	蒙古骑兵
明神宗	朱翊钧
老百姓	百姓
汉景帝	刘启
宋钦宗	赵桓
隋炀帝	杨广
宋徽宗	赵佶
宋孝宗	赵昚
汉武大帝	刘彻
皇陵	陵墓
皇帝陵	陵墓
长安城	长安
秦始皇兵马俑	兵马俑
秦俑	兵马俑
烈士陵园	烈士墓
玄奘法师	玄奘
商纣王	纣王
同治皇帝	同治帝
仲达	司马懿
张学良	少帅
汉献帝	刘协
双摄像头	双摄
酷狗音乐	酷狗
波婶儿	波婶
概念设计图	概念图
波普艺术	波普
人工智能	ai
戴尔	dell
索尼	sony
诺基亚	nokia
紫光集团	紫光
老罗	罗永浩
windows10	win10
星战	星球大战
英特尔	intel
苹果8	iphone8
vr技术	虚拟现实
苹果x	iphonex
奥利奥	oreo
九球天后	潘晓婷
酷比	koobee
打扫	清扫
邪恶	evil
应届毕业生	应届生
电子竞技	电竞
托福	toefl
中戏	中央戏剧学院
国网	国家电网
科学技术奖	科技奖
南艺	南京艺术学院
科目三	科三
清华	清华大学
博科尼	博科尼大学
职业学院	职业技术学院
二建	二级建造师
兰大	兰州大学
考驾照	驾考
学车	练车
杨凌职业技术学院	杨凌职院
哈佛	哈佛大学
工行	工商银行
大邑	大邑县
涨薪	加薪
剑桥	剑桥大学
瑜珈术	瑜珈
浙大	浙江大学
奇台	奇台县
份子钱	礼金
脱粉	脱饭
告白	表白
除夕夜	除夕
大年三十	除夕
家庭暴力	家暴
环卫工人	环卫工
东软集团	东软
三八妇女节	妇女节
三八节	妇女节
看不起	瞧不起
老伴儿	老伴
中国人寿保险公司	中国人寿
正月初一	大年初一
团圆	团聚
陪着你	陪你
丈母娘家	岳母家
丈母娘	岳母
老丈人	岳父
未来婆婆	准婆婆
子女	儿女
印度籍	印籍
大衣哥	朱之文
博州	博尔塔拉
男朋友	男友
新娘子	新娘
赚钱	挣钱
第三者	小三
吊袜带	吊带袜
马王爷	马神
友谊	友情
新郎官	新郎
交行	交通银行
成龙大哥	成龙
太阳女神	谢娜
芒果台	湖南卫视
湖南台	湖南卫视
大幂幂	杨幂
幂幂	杨幂
小童星	童星
周董	周杰伦
杰伦	周杰伦
范范	范玮琪
颁奖礼	颁奖典礼
快本	快乐大本营
小红莓	小红莓乐队
世勋	吴世勋
花花	华晨宇
男明星	男星
子怡	章子怡
黄教主	黄晓明	
晓明哥	黄晓明
晓明	黄晓明
志玲	林志玲
发哥	周润发
前夫哥	雷佳音
金龟子	刘纯燕
纯素颜	素颜
何老师	何炅
小贝	贝克汉姆
李栋旭	李东旭
小绵羊	张艺兴
艺兴	张艺兴
马伊俐	马伊琍
毕姥爷	毕福剑
柏芝	张柏芝
学友	张学友
家驹	黄家驹
冯导	冯小刚
杨子珊	杨子姗
北京国际电影节	北影节
北京电影节	北影节
鬼鬼	吴映洁
草帽姐	徐桂花
乔妹	宋慧乔
小帅虎	陈志朋
范爷	范冰冰
春春	李宇春
思聪	王思聪
阿娇	钟欣潼
光洙	李光洙
奔跑吧兄弟	奔跑吧
跑男	奔跑吧
小岳岳	岳云鹏
波叔	吴秀波
马漂亮	马苏
小甜馨	甜馨
老郭	郭德纲
孔子学院	孔院
白娘子	白素贞
丫丫	佟丽娅
三小只	tfboys
潘帅	潘玮柏
任家萱	selina
合照	合影
陈奕迅	eason
华仔	刘德华
刘天王	刘德华
英文	英语
伯贤	边伯贤
仁川国际机场	仁川机场
变胖	发胖
秀智	裴秀智
韬韬	黄子韬
离世	去世
逝世	去世
俊凯	王俊凯
海涛	杜海涛
陈久霖	陈九霖
当爹	当爸
靓颖	张靓颖
昕昕	吴昕
女明星	女星
山鸡哥	陈小春
跨年夜	跨年
钟铉	金钟铉
超哥	邓超
老邓头	邓超
仙剑奇侠传	仙剑
郭天王	郭富城	
冠希	陈冠希
苍老师	苍井空
乐华娱乐	乐华
西北师范	西北师大大学
峰峰	李易峰
本山大叔	赵本山
hebe	田馥甄
贵州茅台	茅台
大牛市	牛市
税局	税务局
借条	欠条
plato	柏拉图
中兴通讯	中兴
万达集团	万达
bitcoin	比特币
互金	互联网金融
农业银行	农行
中国人民银行	人民银行
国有企业	国企
浦发	浦发银行
酒业	酒企
渝北	渝北区
煤矿	煤
羊倌儿	羊倌	
小灵猫	灵猫
大白菜	白菜
coffee	咖啡
咖啡店	咖啡馆
肉馅儿	肉馅
风俗	习俗
莲藕	藕
凤爪	鸡爪
卷心菜	包菜
凉拌菜	凉菜
通胀	通货膨胀
普洱	普洱茶
里脊肉	里脊
元宵佳节	元宵节
大虾	虾
南岳大庙	南岳庙
吃瓜子	嗑瓜子
玫瑰花	玫瑰
祁门红茶	祁红
馅料	馅儿
鸡胸肉	鸡胸
饮茶	喝茶
品茗	品茶
小窍门	窍门
茶文化	茶道
茶艺	茶道
冰激凌	冰淇淋
搅打	搅拌
储存	保存
2勺	两勺
乡下	农村
橘子皮	橘皮
腊八节	腊八
下雪了	下雪
喝酒	饮酒
女厕所	女厕
gif图	动图
舍友	室友
快递员	快递小哥
猴岛	南湾猴岛
青森	青森市
寝室	宿舍
春香姐	春香
哈哈哈哈	哈哈哈
广州恒大俱乐部	广州恒大
媳妇	老婆
媳妇儿	老婆
妹纸	妹子
小青蛙	青蛙
送外卖	送餐
笑死人	笑死了
笑死人了	笑死了
笑死	笑死了
女朋友	女友
女票	女友
宫本武藏	宫本
第一局	首局
minecraft	我的世界
后座力	后坐力
lol	英雄联盟
妖姬	乐芙兰
5杀	五杀
发姐	陈一发
陈一发儿	陈一发
元芳	李元芳
奎爷	奎托斯
clearlove	厂长
明凯	厂长
二珂	周二珂
卢本伟	五五开
乒超联赛	乒超
斗鱼平台	斗鱼
轩墨宝	轩墨
汉斯季默	季默
东皇	东皇太一
去斑	祛斑
帕金森病	帕金森
胃粘膜	胃黏膜
瘙痒	痒
疼痛	痛
黄牙	牙黄
冬虫夏草	虫草
养猪场	猪场
母大虫	顾大嫂
抽烟	吸烟
包皮龟头炎	龟头炎
例假	月经
经期	月经
大姨妈	月经
掉头发	脱发
掉发	脱发
牙齿	牙
癫痫疾病	癫痫
癫痫病	癫痫
睡着	入睡
乳癌	乳腺癌
噪音	噪声
肺脏	肺
土拨鼠日	土拨鼠之日
乙醇	酒精
癌症	癌
冬季	冬天
肾脏	肾
肝脏	肝
痘印	痘痕
雄激素	雄性激素
突泉	突泉县
姚家庄	姚家庄镇
租户	租客
主卧室	主卧
污垢	污渍
净水机	净水器
高唐	高唐县
江夏	江夏区
油渍	油污
傻傻	傻傻的
华尔道夫酒店	华尔道夫
供热	供暖
买房子	买房
建房	盖房
哼哼哼	哼哼
加沙地带	加沙
冬残奥	冬季残奥会
博鳌论坛	博鳌亚洲论坛
纽约	纽约市
奥运	奥运会
俄美	美俄
冬奥	冬奥会
马代	马尔代夫
阿扁	陈水扁
金利来集团	金利来
俄中	中俄
美中	中美
印中	中印
德中	中德
俄美	美俄
韩美	美韩
韩朝	朝韩
陈酿酒	陈酿
沙特	沙特阿拉伯
江陵	江陵市
强生公司	强生
拉拉队	啦啦队
天狮集团	天狮
叙政府军	叙军
大罢工	罢工
哈利王子	哈里王子
核武	核武器
女囚犯	女囚
丧生	死亡
希思罗机场	希斯罗机场
安倍晋三	安倍
豆腐脑儿	豆腐脑
首脑会晤	首脑会谈
囚犯	犯人
着火	起火
fc31	歼31
兵哥哥	兵哥
001a型航母	001a航母
辽宁号	辽宁舰
战斗机	战机
高超声速	高超音速
八路军	八路
航母	航空母舰
002型航母	002航母
002型	002航母
三八大盖	三八式步枪
小鬼子	鬼子
日本鬼子	鬼子
金职院	金华职业技术学院
军演	军事演习
中国商飞公司	中国商飞
太空探索技术公司	spacex公司	
美国太空探索技术公司	spacex公司
spacex	spacex公司
六代战机	六代机
003型航母	003航母
瓦良格号	瓦良格号航母
坦帕	坦帕市
龙浩集团	龙浩
影片	电影
中东地区	中东
洞朗地区	洞朗
二哈	哈士奇
小伙子	小伙
大猩猩	猩猩
猫猫	猫
猫咪	猫
喵星人	猫
大熊猫	熊猫
杜高犬	杜高
昭苏	昭苏县
水哥	王昱珩
母狮子	母狮
大连老虎滩海洋公园	老虎滩海洋公园
萨摩耶	萨摩
小奶猫	奶猫
西畴	西畴县
大鲵	娃娃鱼
阜沙	阜沙镇
蟒蛇	巨蟒
佩琦	小猪佩琦
鸡脖子	鸡脖
珊瑚礁	珊瑚
七月半	中元节
呼市	呼和浩特市
律协	律师协会
沙坪坝	沙坪坝区
临颍	临颍县
河曲	河曲县
公交	公交车
玉田	玉田县
凯蒂猫	hellokitty
大同	大同市
兴仁	兴仁县
马鲛	马鲛鱼
社保保障卡	社会卡
广饶	广饶县
富平	富平县
波司登集团	波司登
邵东	邵东县
化隆	化隆县
沂蒙山小调	沂蒙小调
富源	富源县
失踪	失联
大荔	大荔县
明代宗	朱祁钰
鞭炮	爆竹
环境保护部	环保部
电动三轮车	电三轮
明天	明日
国家卫生计生委	国家卫计委
辅警	协警
米脂	米脂县
神木	神木市
降雨	降水
陆川	陆川县
红十字	红十字会
泸西	泸西县
巨鹿	巨鹿县
双流	双流区
桑植	桑植县
带队	率队
绥阳	绥阳县
仙游	仙游县
工会组织	工会
部分地区	局地
顺德	顺德区
冷水滩区	冷水滩
湘潭	湘潭市
刑拘	刑事拘留
市食品药品监督管理局	市食药监局
表彰大会	表彰会
通畅	畅通
且末	且末县
定海	定海区
华能国际电力股份有限公司	华能国际
购彩者	彩民
围甲联赛	围甲
德江	德江县
仙居	仙居县
ofo	小黄车
聚美优品	聚美
格力电器	格力
acfun	a站
威马汽车	威马
微信公众号	公众号
摩拜单车	摩拜
脸书	facebook
华为公司	华为
伊尔库茨克	伊尔库茨克市
哔哩哔哩	b站
广州十三行博物馆	十三行博物馆
小蓝	小蓝车
小蓝单车	小蓝车
申通快递	申通
餐饮店	餐厅
华体科技	华体
恒大集团	恒大
雄安新区	雄安
注销账号	注销账户
奶茶妹	章泽天
沽源	沽源县
帐号	账号
斯坦福	斯坦福大学
兴文	兴文县
甘孜	甘孜州
叙永	叙永县
伏季休渔期	伏季休渔
玉兰花	玉兰
纳木措	纳木错
古蔺	古蔺县
休宁	休宁县
清明	清明节
西江千户苗寨	苗寨
丹寨	丹寨县
烟火	烟花
蓝月亮	蓝月
厦大	厦门大学
万豪国际集团	万豪国际
牡丹花	牡丹
即墨	即墨区
丘北	丘北县
万州	万州区
香洲	香洲区
库布其沙漠	库布其
芭蕾舞	芭蕾
全椒	全椒县
若羌	若羌县
广铁集团	广铁
丰都	丰都县
晋成帝	司马衍
古村落	古村
瑞声科技	瑞声
册亨	册亨县
曲江新区	曲江
雪场	滑雪场
佛坪	佛坪县
秦州	秦州区
年味儿	年味
桐梓	桐梓县
醉驾	酒驾
拜仁慕尼黑	拜仁
奥胖	奥尼尔
飞天大圣	李衮
绿衫军	凯尔特人
绿军	凯尔特人
红黑军团	ac米兰
红魔	曼联
曼联队	曼联
国乒女队	中国女乒
字母哥	阿德托昆博
生活质量	生活水平
迪玛利亚	迪马利亚
阿圭罗	阿奎罗
尤文	尤文图斯
斑马军团	尤文图斯
弗神	弗雷戴特
寂寞大神	弗雷戴特
小罗	罗纳尔迪尼奥
利物浦队	利物浦
红军	利物浦
申花队	申花	
没羽箭	张清
瑞士天王	费德勒
费天王	费德勒
毕巴	毕尔巴鄂竞技
上港队	上港
书豪	林书豪
伦纳德	莱昂纳德
马刺队	马刺
圆脸登	戈登
浓眉哥	安东尼戴维斯
浙江广厦	广厦队
广厦男篮	广厦队
阿森纳球迷	枪迷
乌兹别克斯坦	乌兹别克
船火儿	张横
勒布朗	詹姆斯
老詹	詹姆斯
詹皇	詹姆斯
勒布朗詹姆斯	詹姆斯
lbj	詹姆斯
赫塔费	赫塔菲
麦蒂	麦迪
塔神	塔尔德利
战胜	击败
小刺客	小托马斯
诺天王	诺维茨基
诺维斯基	诺维茨基
国青队	国青
中国男足	国足
武球王	武磊
西布朗	西布朗维奇
登哥	哈登
大胡子	哈登
詹姆斯哈登	哈登
皇家马德里	皇马
后娘	后妈
fifa	国际足联
篮球之神	乔丹
邮筒合照	邮筒合影
国际米兰	国米
首钢男篮	首钢队
青白江	青白江区
绩点	gpa
马努吉诺比利	吉诺比利
夏令时间	夏时制
本西蒙斯	西蒙斯
火箭队	火箭
第一节	首节
乒乓	乒乓球	
郎导	郎平
中赫国安	国安
国安队	国安
大罗	罗纳尔多
互利	互惠
wcba	女篮
马竞	马德里竞技
海帅	海因克斯
8强	八强
nbd	每日经济新闻
小贝	贝克汉姆
内少	内马尔
抢七战	抢七大战
姆爷	eminem
巴神	巴洛特利
小丁	丁彦雨航
综合格斗	mma
威少	威斯布鲁克
苏神	苏亚雷斯
苏牙	苏亚雷斯
卡帅	卡纳瓦罗
奥恰	奥恰洛夫
休斯顿	休斯敦
艾佛森	艾弗森
首发阵容	首发
先发	首发
中国国乒	国乒
国乒队	国乒
桌面游戏	桌游
斯蒂利克	施蒂利克
花滑	花样滑冰
汤神	汤普森
克莱	汤普森
克莱汤普森	汤普森
盖帽	封盖
拉科	拉科鲁尼亚
长阳	长阳镇
帕楚利亚	帕楚里亚
湖人队	湖人
海沧	海沧区
羽球	羽毛球
德约	德约科维奇
库鸟	库蒂尼奥
暴力鸟	保利尼奥
唐纳鲁马	多纳鲁马	
博世公司	博世集团
西汉姆联	西汉姆
热巴	迪丽热巴
丢球	失球
格列兹曼	格里兹曼	
齐祖	齐达内
4强	四强
瓦伦	瓦伦西亚
穆帅	穆里尼奥
波格丹诺维奇	博格丹诺维奇
奥巴梅杨	奥巴梅扬
控球后卫	控卫	
奥恰	奥恰洛夫
尤杯	尤伯杯
维金斯	威金斯
隐居者	隐士
大禁区	禁区
阿圭罗	阿奎罗
波神	波尔津吉斯
中乙联赛	中乙
吉米巴特勒	巴特勒
皇家贝蒂斯	贝蒂斯
莎娃	莎拉波娃
刘指导	刘国梁
阿森纳队	阿森纳
德比战	德比
客场战	客场
港超联赛	港超
宁洱	宁洱县
科勒卡戴珊	卡戴珊
莱万	莱万多夫斯基
纽卡	纽卡斯尔
伤情	伤势
羽超联赛	羽超	
阿联	易建联
欧联杯	欧联
丧门神	鲍旭
末节	第四节
梅球王	梅西
konami	科乐美
强壮如牛	健壮如牛
埃神	埃尔克森
球爹	拉瓦尔
小里弗斯	里弗斯
独火星	孔亮
花滑	花样滑冰
病大虫	薛永
庄神	德拉蒙德
杜少	杜兰特
轰天雷	凌振
iphon8	iphone8
雷霆队	雷霆
笑面虎	朱富
城围联	城市围棋联赛
安纳罕	angels
大郅	王治郅
